feature,importance
V17,0.5645457189127442
V14,0.11541649896325833
V10,0.053086666095481724
Time,0.028924248395228204
V26,0.020479097296164903
V4,0.017378067237125
V3,0.015915404046279447
V28,0.014804180175161736
V8,0.012859130339212002
V20,0.012813365420066218
V25,0.012674741679857103
V16,0.012262814603528505
V15,0.011128537168432793
V13,0.010240257468897312
V12,0.010099226346824742
V7,0.009684260786063522
V11,0.009125117886955175
V9,0.00804453855233232
V6,0.007824582915070323
V19,0.007331138454682573
Amount,0.006726623400237811
V23,0.006691401488116272
V21,0.006244522685152211
V27,0.005821187289472608
V1,0.004675178679078946
Amount_log1p,0.003452134090929763
V24,0.0034076578420689256
V2,0.003169313079823976
Hour,0.0029105936447363047
V18,0.002263795057017125
V5,0.0
V22,0.0
hour_sin,0.0
hour_cos,0.0
