threshold,accuracy,precision,recall,f1,tp,fp,tn,fn,cost_per_tx
0.01,0.2985674660299849,0.002421912062120796,0.9897959183673469,0.0048320007970310596,97,39954,16910,1,0.7017660896738176
0.019799999999999998,0.4507917559074471,0.0030911408540471638,0.9897959183673469,0.006163034500285914,97,31283,25581,1,0.5495417997963554
0.0296,0.5496997998665777,0.0037290242386575512,0.9795918367346939,0.007429765498026469,96,25648,31216,2,0.45096731154102737
0.0394,0.6162704961202204,0.004282850373610351,0.9591836734693877,0.008527624058786175,94,21854,35010,4,0.3850637266949896
0.0492,0.6673747410554405,0.0049377527971844306,0.9591836734693877,0.009824928142147896,94,18943,37921,4,0.3339594817597697
0.059000000000000004,0.7045925353744602,0.00555654075781758,0.9591836734693877,0.011049074346165148,94,16823,40041,4,0.29674168744074997
0.0688,0.7347178820968365,0.006118823606816238,0.9489795918367347,0.012159246911159051,93,15106,41758,5,0.2669498964221762
0.07859999999999999,0.7603138934728415,0.006768066370715377,0.9489795918367347,0.013440277476696292,93,13648,43216,5,0.24135388504617114
0.08839999999999999,0.7800112355605492,0.007369839131468421,0.9489795918367347,0.014626091059212079,93,12526,44338,5,0.22165654295846354
0.0982,0.7977950212422317,0.008013096674134069,0.9489795918367347,0.015892002734108,93,11513,45351,5,0.203872757276781
0.108,0.8141568062919139,0.008712759977515458,0.9489795918367347,0.01726698848867434,93,10581,46283,5,0.18751097222709875
0.11779999999999999,0.828499701555423,0.009434919346657198,0.9489795918367347,0.01868407835258664,93,9764,47100,5,0.17316807696358977
0.1276,0.8409817071029809,0.010168379619505796,0.9489795918367347,0.020121159671138037,93,9053,47811,5,0.16068607141603175
0.1374,0.852866823496366,0.010981225646475381,0.9489795918367347,0.02171121746235555,93,8376,48488,5,0.14880095502264667
0.1472,0.8625574944699975,0.011746873815839333,0.9489795918367347,0.023206487835308796,93,7824,49040,5,0.13911028404901513
0.157,0.8714406095291598,0.012548913776818243,0.9489795918367347,0.024770275669196963,93,7318,49546,5,0.13022716898985287
0.1668,0.8797795021242232,0.013408304498269897,0.9489795918367347,0.026442991185669604,93,6843,50021,5,0.12188827639478951
0.1766,0.887117727607879,0.014268180423442774,0.9489795918367347,0.0281136638452237,93,6425,50439,5,0.11455005091113374
0.1864,0.8947192865419051,0.015283483976992605,0.9489795918367347,0.030082484230955848,93,5992,50872,5,0.10694849197710754
0.1962,0.9006355113935606,0.016011138183083886,0.9387755102040817,0.03148528405201916,92,5654,51210,6,0.10136582282925459
0.20600000000000002,0.9062532916681296,0.01695539992628087,0.9387755102040817,0.0333091962346126,92,5334,51530,6,0.09574804255468558
0.2158,0.9118008496892666,0.017815191855912293,0.9285714285714286,0.03495966192854399,91,5017,51847,7,0.09053404023735122
0.2256,0.9165408517959341,0.018610421836228287,0.9183673469387755,0.03648155654641265,90,4746,52118,8,0.08612759383448615
0.2354,0.9209472981987992,0.019629225736095966,0.9183673469387755,0.03843689942344651,90,4495,52369,8,0.08172114743162108
0.2452,0.9250728555879358,0.020689655172413793,0.9183673469387755,0.040467625899280574,90,4260,52604,8,0.07759559004248447
0.255,0.9290404129068501,0.021823472356935016,0.9183673469387755,0.04263382283278067,90,4034,52830,8,0.0736280327235701
0.2648,0.9327621923387521,0.023006134969325152,0.9183673469387755,0.04488778054862843,90,3822,53042,8,0.06990625329166814
0.2746,0.9358695270531231,0.024096385542168676,0.9183673469387755,0.04696060527002348,90,3645,53219,8,0.06679891857729714
0.2844,0.9389417506407781,0.025280898876404494,0.9183673469387755,0.049207217058501916,90,3470,53394,8,0.06372669498964222
0.2942,0.9421017520452232,0.026627218934911243,0.9183673469387755,0.051753881541115584,90,3290,53574,8,0.060566693585197146
0.304,0.9447175309855693,0.027855153203342618,0.9183673469387755,0.05407029137879243,90,3141,53723,8,0.05795091464485096
0.3138,0.9471226431656192,0.029088558500323207,0.9183673469387755,0.05639097744360902,90,3004,53860,8,0.0555458024648011
0.3236,0.9496330887258172,0.030498136225008472,0.9183673469387755,0.059035749426041326,90,2861,54003,8,0.05303535690460307
0.3334,0.9517046452020645,0.03176844334627603,0.9183673469387755,0.06141248720573183,90,2743,54121,8,0.05096380042835574
0.3432,0.9540219795653242,0.03332099222510181,0.9183673469387755,0.06430868167202572,90,2611,54253,8,0.04864646606509603
0.353,0.9558302025912011,0.03464203233256351,0.9183673469387755,0.06676557863501484,90,2508,54356,8,0.04683824303921913
0.3628,0.9577788701239422,0.03618817852834741,0.9183673469387755,0.06963249516441006,90,2397,54467,8,0.044889575506478
0.3726,0.9595344264597451,0.03770423125261835,0.9183673469387755,0.07243460764587525,90,2297,54567,8,0.043134019170675185
0.3824,0.9612724272321899,0.039335664335664336,0.9183673469387755,0.07544006705783739,90,2198,54666,8,0.0413960183982304
0.3922,0.9626066500474,0.0406871609403255,0.9183673469387755,0.07792207792207792,90,2122,54742,8,0.04006179558302026
0.402,0.9642217618763386,0.04245283018867924,0.9183673469387755,0.0811541929666366,90,2030,54834,8,0.03844668375408167
0.4118,0.9655910958182649,0.04407443682664055,0.9183673469387755,0.08411214953271028,90,1952,54912,8,0.03707734981215547
0.4216,0.9670306520136231,0.04591836734693878,0.9183673469387755,0.08746355685131195,90,1870,54994,8,0.03563779361679716
0.4314,0.9681190969418209,0.04741833508956796,0.9183673469387755,0.09018036072144289,90,1808,55056,8,0.034549348688599414
0.4412,0.9693304308135248,0.049207217058501916,0.9183673469387755,0.0934094447327452,90,1739,55125,8,0.033338014816895474
0.451,0.9703486534882905,0.050818746470920384,0.9183673469387755,0.09630818619582665,90,1681,55183,8,0.03231979214212984
0.4608,0.9714546539798462,0.05269320843091335,0.9183673469387755,0.09966777408637874,90,1618,55246,8,0.031213791650574068
0.4706,0.9725255433446859,0.0546448087431694,0.9183673469387755,0.10315186246418338,90,1557,55307,8,0.03014290228573435
0.4804,0.9734910993293775,0.056532663316582916,0.9183673469387755,0.10650887573964497,90,1502,55362,8,0.0291773463010428
0.49019999999999997,0.9745795442575752,0.058823529411764705,0.9183673469387755,0.11056511056511056,90,1440,55424,8,0.028088901372845053
0.5,0.9755275446789088,0.06097560975609756,0.9183673469387755,0.11435832274459974,90,1386,55478,8,0.027140900951511535
0.5097999999999999,0.9767388785506127,0.06396588486140725,0.9183673469387755,0.11960132890365449,90,1317,55547,8,0.02592956707980759
0.5196,0.9775464344650819,0.06612784717119764,0.9183673469387755,0.12337217272104181,90,1271,55593,8,0.025122011165338295
0.5294,0.9782837681261192,0.06823351023502654,0.9183673469387755,0.12702893436838392,90,1229,55635,8,0.02438467750430111
0.5392,0.9789508795337243,0.0702576112412178,0.9183673469387755,0.1305293691080493,90,1191,55673,8,0.023717566096696042
0.549,0.9797057687581194,0.07269789983844911,0.9183673469387755,0.1347305389221557,90,1148,55716,8,0.022962676872300834
0.5588,0.9805133246725888,0.07550335570469799,0.9183673469387755,0.13953488372093023,90,1102,55762,8,0.022155120957831537
0.5686,0.9812682138969839,0.0783289817232376,0.9183673469387755,0.14434643143544507,90,1059,55805,8,0.021400231733436324
0.5784,0.9819528808679471,0.08108108108108109,0.9183673469387755,0.1490066225165563,90,1020,55844,8,0.02071556476247323
0.5882,0.982567325585478,0.08372093023255814,0.9183673469387755,0.1534526854219949,90,985,55879,8,0.02010112004494224
0.598,0.9832695481197992,0.08695652173913043,0.9183673469387755,0.1588702559576346,90,945,55919,8,0.019398897510621117
0.6078,0.9839191039640462,0.0893574297188755,0.9081632653061225,0.16270566727605118,89,907,55957,9,0.01908289737017661
0.6176,0.9843931041747129,0.09184726522187822,0.9081632653061225,0.1668228678537957,89,880,55984,9,0.01860889715950985
0.6274,0.985007548892244,0.09528907922912205,0.9081632653061225,0.17248062015503876,89,845,56019,9,0.017994452441978864
0.6372,0.9854113268494786,0.09769484083424808,0.9081632653061225,0.17641228939544104,89,822,56042,9,0.017590674484744214
0.647,0.9858502159334293,0.10045146726862303,0.9081632653061225,0.18089430894308944,89,797,56067,9,0.017151785400793512
0.6567999999999999,0.9865524384677504,0.10520094562647754,0.9081632653061225,0.1885593220338983,89,757,56107,9,0.016449562866472384
0.6666,0.9870791053684913,0.1090686274509804,0.9081632653061225,0.19474835886214442,89,727,56137,9,0.01592289596573154
0.6764,0.987570661142516,0.11294416243654823,0.9081632653061225,0.20090293453724606,89,699,56165,9,0.015431340191706751
0.6862,0.9878866612829605,0.11558441558441558,0.9081632653061225,0.20506912442396313,89,681,56183,9,0.015115340051262246
0.696,0.9883957726203434,0.12010796221322537,0.9081632653061225,0.21215733015494637,89,652,56212,9,0.014606228713879428
0.7058,0.9887117727607879,0.12309820193637622,0.9081632653061225,0.21680876979293545,89,634,56230,9,0.014290228573434921
0.7156,0.9891155507180226,0.12714285714285714,0.9081632653061225,0.22305764411027568,89,611,56253,9,0.013886450616200275
0.7253999999999999,0.9894842175485411,0.13107511045655376,0.9081632653061225,0.22908622908622908,89,590,56274,9,0.013517783785681683
0.7352,0.9898528843790597,0.135258358662614,0.9081632653061225,0.23544973544973544,89,569,56295,9,0.013149116955163092
0.745,0.9901864400828623,0.13928012519561817,0.9081632653061225,0.24151967435549526,89,550,56314,9,0.012815561251360557
0.7548,0.9905024402233068,0.1421647819063005,0.8979591836734694,0.24546722454672246,88,531,56333,10,0.012833116814718585
0.7646,0.9908535514904673,0.14691151919866444,0.8979591836734694,0.25251076040172166,88,511,56353,10,0.01248200554755802
0.7744,0.9910642182507636,0.14991482112436116,0.8979591836734694,0.2569343065693431,88,499,56365,10,0.012271338787261683
0.7842,0.991309996137776,0.15357766143106458,0.8979591836734694,0.26229508196721313,88,485,56379,10,0.01202556090024929
0.794,0.9915382184614304,0.15714285714285714,0.8979591836734694,0.2674772036474164,88,472,56392,10,0.011797338576594922
0.8038,0.991871774165233,0.1614100185528757,0.8877551020408163,0.2731554160125589,87,452,56412,11,0.011797338576594922
0.8136,0.9921351076156034,0.16603053435114504,0.8877551020408163,0.2797427652733119,87,437,56427,11,0.011534005126224501
0.8234,0.9923984410659739,0.17092337917485265,0.8877551020408163,0.28665568369028005,87,422,56442,11,0.011270671675854079
0.8331999999999999,0.9926617745163442,0.17611336032388664,0.8877551020408163,0.2939189189189189,87,407,56457,11,0.011007338225483656
0.843,0.9929075524033566,0.18125,0.8877551020408163,0.30103806228373703,87,393,56471,11,0.010761560338471261
0.8528,0.9931884414170851,0.1875,0.8877551020408163,0.3096085409252669,87,377,56487,11,0.010480671324742811
0.8626,0.9935395526842457,0.19594594594594594,0.8877551020408163,0.3210332103321033,87,357,56507,11,0.010129560057582247
0.8724,0.9939959973315544,0.20813397129186603,0.8877551020408163,0.3372093023255814,87,331,56533,11,0.009673115410273516
0.8822,0.9942593307819247,0.21588089330024815,0.8877551020408163,0.3473053892215569,87,316,56548,11,0.009409781959903094
0.892,0.9946455531758014,0.2283464566929134,0.8877551020408163,0.36325678496868474,87,294,56570,11,0.009023559566026474
0.9017999999999999,0.9951897756399003,0.24857142857142858,0.8877551020408163,0.38839285714285715,87,263,56601,11,0.0084793371019276
0.9116,0.9955584424704189,0.26443768996960487,0.8877551020408163,0.40749414519906324,87,242,56622,11,0.00811067027140901
0.9214,0.9960499982444436,0.28903654485049834,0.8877551020408163,0.43609022556390975,87,214,56650,11,0.007619114497384221
0.9312,0.9966995540886907,0.32954545454545453,0.8877551020408163,0.48066298342541436,87,177,56687,11,0.00696955865313718
0.941,0.9970155542291352,0.35365853658536583,0.8877551020408163,0.5058139534883721,87,159,56705,11,0.0066535585126926726
0.9508,0.997454443313086,0.3936651583710407,0.8877551020408163,0.5454545454545454,87,134,56730,11,0.006214669428741968
0.9606,0.9978757768336786,0.4416243654822335,0.8877551020408163,0.5898305084745763,87,110,56754,11,0.005793335908149293
0.9703999999999999,0.998139110284049,0.47802197802197804,0.8877551020408163,0.6214285714285714,87,95,56769,11,0.00553000245777887
0.9802,0.9983497770443454,0.5120481927710844,0.8673469387755102,0.6439393939393939,85,81,56783,13,0.0059864471050876025
0.99,0.9986306660580738,0.5684931506849316,0.8469387755102041,0.680327868852459,83,63,56801,15,0.006372669498964222
