feature,importance
V14,0.160781659040323
V10,0.11478823942919733
V12,0.09947668590371357
V17,0.09945825835425995
V4,0.09716442014250502
V11,0.0734177648943845
V3,0.057160766988962
V16,0.04935160405711101
V7,0.02546394124363789
V2,0.025088059480079146
V21,0.018322656501472308
V18,0.016445529306481233
V9,0.016345715323868065
V19,0.01424186923066473
V6,0.012113591111423306
V8,0.010834025286956529
V20,0.0102886189636311
Amount,0.009681952102471107
V1,0.009460468517843114
Amount_log1p,0.009326822398656258
V13,0.008282951542036196
V27,0.008041037557032598
V26,0.00738468659845415
V5,0.006347152501645285
V28,0.0060641157484971255
V22,0.005287769218209895
V25,0.004984781150395082
Time,0.004939801745408363
V15,0.00475618312346126
V24,0.0042625561120493505
V23,0.003722800241803495
Hour,0.002575804061138997
hour_cos,0.002350307500671329
hour_sin,0.0017874046215558006
